id,datetime
-2m0dU9MRr-G61VC1oYJRg,2013-08-02T00:09:42.363800
-2m23_T4QYODzw-5gYdZQQ,2013-11-26T15:10:35.929000
-2muyUf7S9SraOyI3v5PvQ,2013-11-22T16:26:35.832400
-2nFcUZaSK6o35cZFIWxVw,2013-05-28T02:36:41.170900
-2ptQBQoSAq1oga6J2JFnQ,2013-12-26T11:44:43.928500
-2q_wuEIQN6mzzyeXoxxpw,2013-05-24T20:50:19.790100
-2tOYwaJQ4Kxe8gL_87Clw,2013-10-25T19:34:40.126200
-2wLl9CMQneBW6OocQtO8g,2013-11-26T16:25:36.120400
-2y07jPwQCeyusf5h-G4DQ,2014-02-01T09:24:12.241300
-2zkp7yiQw2dJv75a58_dw,2013-11-22T03:30:20.383300
-33vqWfzTIq8X7ixCFY2rQ,
-36RrtnMShiQ_fwk1vnQYw,2013-08-02T03:30:27.699200
-3EXLQ1VRbqWoLyxgEdLIw,2013-07-28T16:12:00.358200
-3EXh5GASou5PwOTPCyPfg,2013-10-14T23:22:04.022100
-3I-Z3iwSGivh637luFDtg,2014-02-01T14:02:20.133200
-3J931abSXO5hiAOG6VnJA,2013-11-08T10:20:06.507200
-3KGADA6TVyuFWYTGpTvDQ,2013-10-26T03:35:04.736800
-3LaWj5zSAapgvPhJ8Ak_A,2013-12-07T04:46:23.761100
-3RwRbkHSjikxKBLdrvj5A,2013-06-29T13:13:22.507300
-3TpV5qMT-WYdVtgT3_2eg,2013-12-26T18:46:19.772300
-3Uy7jhwT8O2XKSkESC8KQ,2013-10-23T12:51:45.920300
-3Wygu9XQqiyfTikpibM0A,2014-01-22T20:11:03.496100
-3Xsxs5_StSvvhqu0RWR2g,2013-12-19T10:52:59.535700
-3bAd0sFT9qP1eiqHxhYKw,2013-12-16T09:36:33.120100
-3bjy542TcKiiFqfTP1gBw,2014-01-19T16:00:33.032000
-3mPCVqITteMEqKNJPDcXg,2013-07-12T09:25:27.290500
-3rKxHX3RMCG_GDYC-Wy1A,2013-06-30T23:27:12.794500
-3s6HRUMR3K97hBMrr88MA,2014-01-14T03:57:16.650000
-3vw8BodQV680mTv4jVRfA,2013-11-13T04:53:32.088700
-3wUe-LZTiuyK5KsmZV6pw,2013-12-07T10:57:57.870100
-3yXK3tzRZOWtgK_vxQ2EQ,2013-05-25T04:27:45.201400
-4-hz5efQXatlRAckjuf3w,2013-12-27T15:29:51.427000
-4-pabE_QuyUNmfbiwmdBA,2013-10-21T03:28:50.400600
-44eRh3BQhWQvHk3y0dnOQ,2013-11-28T10:09:38.353600
-44x2Jf5QYKtK4w-FsQQ-w,2014-02-05T05:10:05.603200
-45o18-dQLyF7bbRXZlFnA,2013-06-27T08:33:04.027100
-4M_ua8aRe6_w8FTq4GKTA,2013-06-07T15:43:30.522900
-4NuWiuqT4W4uS-Au_QWgQ,2014-01-22T20:41:41.886600
-4OtX2JUQHSqqGVM1EKNCg,2013-09-23T00:13:58.500700
-4P7r1oyQsyPrzgOPS9-UA,2013-05-27T20:41:55.211300
-4QKtVnLSWaZxuGfcBNgCw,2013-07-27T20:37:19.792300
-4UsNP70SAWEWs409Hg31A,2013-10-25T20:47:49.376000
-4VwRcfbT_2yQKDdp0G4YA,2013-11-14T23:47:22.837500
-4jad2-qTYqGm9ZNxz_00g,2013-06-10T05:57:52.153200
-4n_YIFkS0CUYn2IgzEG9A,
-4pMIQVjRqKPzdP8K6e64g,2013-11-05T09:04:38.287500
-4pqwumERLaAk2cJzyu9UQ,2013-07-05T15:18:44.269100
-4vlXH1CS42wCIr1HTMXMg,2013-12-06T03:41:54.068800
-4xh7jegRHyJT1EONxDpng,2013-12-31T11:04:22.679000
-4yDbw9gTgSJ3NknfvY9CA,2014-01-29T10:27:23.962400
-5-Y64FJSHCLYhT-ZkKmYQ,2014-02-03T01:13:06.302200
-51gJup_ReenMVsqtoVf6Q,2013-07-28T06:32:54.118300
-53RP7_rQCGwHT87frrFyQ,2013-08-13T10:35:23.133400
-57CbYzcTESsyTwxuQ1iFw,2013-11-13T06:31:57.865300
-5BMSIAMT0yhHrhc8MKRSA,2014-01-09T16:39:34.705700
-5DfMp6ISd-eqnGFajLbfg,2014-01-19T01:26:23.399900
-5FR5Ki_RVmzQEXvnTwHFg,2013-11-24T03:04:49.366300
-5GpNIEKQ0ypfx001KwTHA,2013-11-08T18:24:29.760600
-5NRXXHrTQ-zTqvcyQH_2A,2013-10-14T06:26:24.986000
-5NyNjSyRxKJ9CVxFwXN7Q,2013-12-28T13:21:36.723000
-5R2aM78Tiy_pIDGBBelww,2013-12-21T19:09:44.972400
-5TPmBf6QTioorznCiLHNQ,
-5Yunl-XQi-MqxhdA3pmjQ,2013-07-24T20:10:25.016800
-5ZUYXGpRaCrBVE5ybf4RA,2013-12-20T17:25:03.163500
-5dXZHGzTyuf3IuXVLu77w,2013-12-17T19:06:55.995200
-5eXNU-gRH-P_mjPi3yQEQ,2013-08-16T05:25:40.775400
-5e_sDlzQ-Gu7-hOGWYbXQ,2013-10-22T13:04:54.184600
-5gZgNZbTtOH_bvpgqZf4w,2013-05-25T21:50:38.109700
-5iB_BV_TsC6eJYkT5cTCQ,2013-12-22T12:46:20.415200
-5kkdP-ySQGDGeIa1pde8Q,2013-12-21T22:19:30.407700
-5p9aSMUQpSNwSRuCvhn8g,2013-10-26T06:44:42.078400
-5qFzwYRQZWF7bisScCNwg,2013-12-27T11:02:19.213300
-60-iVf_QtOB5L9sZZRMYQ,2013-08-13T05:46:25.820900
-63lPswzQTeOXEn5xxewKA,2013-10-30T16:44:28.173400
-649S5-3TNWtx52xghA0CA,2014-01-16T12:36:38.843900
-65cHHdTRD6wyRlZjqyw0Q,2014-01-30T10:18:45.711600
-68v5wIUT-CqwtxpifduOg,2014-01-03T06:50:23.740500
-6CBxwQ5TL61XkHQGVALxQ,2014-01-02T00:29:35.209300
-6Cj-OPXQ4WR21JK1HuW7Q,2013-12-05T00:24:04.080500
-6EJM-noSw-HytTajx19kQ,2013-07-30T15:36:43.080000
-6GwIXmNQJSJaT5jFxwMoA,2013-07-23T05:22:58.294100
-6H4XUVKQ5-elBj22qKzpQ,2014-01-07T06:42:42.350100
-6HEhznTT-q_KX89_t-Vpg,2013-11-15T11:28:53.272100
-6IahGWGQwqkg4vwwGkS1g,2013-11-28T17:21:35.983000
-6LodLjGQcSoYjrKahOm4w,2013-08-03T07:01:08.980100
-6NkWFEASY6yZ8ntSntzqw,2013-12-01T02:36:01.803800
-6PM6O4mS9GZmUXzh_0F5w,2013-11-22T22:28:52.109500
-6T7x3cLSOa2u6bsCXqzAA,2014-02-01T03:49:53.475400
-6Vot8pjTSq53OA3MxfneQ,2013-10-16T03:44:50.630000
-6WyLIDfQsi503m5KzAUtw,2013-09-19T13:02:37.426800
-6XpM7VWTfeGFF_rSQrxVw,2013-11-16T10:02:54.448100
-6eI9wGmTnWlNyStYrlAUg,2013-11-06T19:46:31.474500
-6efYvx_QCiqIRFf_3uogQ,2013-10-12T08:58:50.340300
-6ll4jsTQwyuE1cntfwexA,2013-06-18T08:09:10.716700
-6lv6BVvR_CMrmL-gm_rHw,2013-10-05T10:37:49.002800
-6p7odQzSi6o19Rsm--1aQ,2013-06-24T02:24:42.035000
-6wQR6MgQdmFRHfkiF1yAw,2014-01-16T09:07:24.283200
-6yRJFo1T_ql6WtInDmzGQ,2013-09-21T12:16:19.359500
-71g-OzuR5mPcGTj9wpvFw,2013-07-26T16:31:06.364400
-71igWkBRxao_9mrF0fxMg,2013-06-11T20:45:00.364900
-72ASHc_SjywKrqs7li5Qg,2013-05-23T09:19:47.200200
-72iwPRVQieVp4tf0cMYFQ,2013-05-23T06:50:18.131300
-79EFM84SD2jcP3TCzwoiw,
-79G8VAmQNSo0ubmlIE9sQ,2013-12-04T09:05:51.490800
-7Duf_-KTKa4DrMv8X_v1w,2013-12-16T21:24:49.357300
-7KyMpH2QBOowPeAoYCdJA,2013-12-29T23:52:58.544100
-7MoyZ_USlifzanbEQ-CVg,2013-12-24T07:11:30.777400
-7PAhEzvTQq3lnGORTwPxg,2013-09-22T00:18:43.316700
-7Q9c_HlRbqAge_OuCd2-g,2013-06-08T22:11:47.365000
-7d0fMQnTTCLPy3UFIlrAA,2013-12-11T10:14:47.646700
-7ht2LYpSPeg9NA6msz09Q,2013-12-09T17:21:49.000200
-7myADAmQguQo6xrAU8O_Q,2013-11-24T09:13:56.334300
-7vAiyXTQpyiCekQpRrGLw,2013-12-04T05:28:41.298800
-7xLJUNgStGxsHNkTQLCpg,2013-11-27T01:13:58.336900
-8-HOM6lTXm-FRTf29Gm8Q,2014-01-05T10:46:53.478900
-82domsfR-CSDwVJWRzwsg,2013-06-22T05:28:37.439800
-86qiX-_TXmB_5rk4zL5lQ,2013-09-20T16:40:33.006400
-8AO1j7hThGpR-vfhjjk9w,2013-10-28T03:45:12.591500
-8FJEQovRoSafSSqLTUcfg,2014-01-23T00:43:26.707900
-8HIuxm_SQuw3pD4LaumSA,2013-12-21T20:11:44.370800
-8K0vEoQQH6Noma3AH4XwQ,2013-07-08T04:05:43.323600
-8K1hxCnQpibIQ5nxMHIsQ,2013-12-30T22:37:58.095100
-8UjTC6rSLi7IoiNLxg7lQ,2013-10-30T06:55:55.582700
-8VCB5QwRPGAWun6yzx_Yw,2014-01-22T00:54:10.658200
-8VdPqcKQFKlZ79EhqFHPQ,2013-12-04T17:04:37.777200
-8X6v3CcSsOAZ6Lb1ybR_g,2013-12-01T08:53:43.520400
-8guA_mFSwqoTOspyzn7wg,2014-01-22T04:53:34.963400
-8h50rzHR9qDz3jDx4_Wzw,2013-12-02T16:05:31.733900
-8h8zKXhT9K1AmiS9efWxg,2013-08-12T18:42:50.737800
-8j67R28Qdu5n8ZBh8hMpw,2013-12-30T09:26:48.330500
-8mMjqbfS3-Zmf-ww4VmTA,2013-06-20T22:10:38.633600
-8qtotYITAWGwXHGxClSFA,2013-07-25T08:52:56.664300
-8tJa4LQSPGV8KEjSA8f-w,2013-10-21T20:15:06.735800
-8tRSMg3QqeKJ-wDR7y_yw,2013-06-01T19:38:02.634100
-8xYVATRSeypC6-dfpckWw,2013-12-19T19:20:59.063800
-9-wykg1Sg6hZ5LAgcS7JQ,
-93ALjupRCCYi9pxdqBPNw,2013-05-28T19:49:34.721400
-94OaMfBT8Knqvqc9LsQ4g,
-96HF4rUShyvUwaVDBS_Dw,2013-11-28T10:34:56.785700
-984XMPRQtmx2bMzOT_blQ,2013-06-02T13:34:56.223200
-98Uj0PuQTigH9xkeNPlIA,2013-11-09T02:59:20.500000
-98u4-kCSsefasvgW922qw,2013-12-13T14:41:18.145900
-9Aavc3WSMuzm11E-Tp-Bg,2013-11-21T08:39:33.711600
-9IyMo55RQia0h8pRZTNqw,2013-11-12T04:19:43.962800
-9TiAIXtRiGXDyFsscGASQ,2014-01-30T13:41:02.026600
-9W67BxbSSOG1xIP7eINww,2013-11-16T03:03:39.405300
-9YLIH1QQ-CN82dJnfHy3Q,2013-12-20T10:19:49.612100
-9lVpNDTTMS4MjSiOALg8A,2013-10-03T06:00:26.987800
-9okbWz6RVWOy2w_RPtPaw,2013-12-24T17:03:10.222000
-9sx4gNrQCe69l2Vj4j6uA,2014-01-03T22:23:40.061700
-9w3cZlVRc2rQVUxGbpsKg,2013-12-02T10:31:39.107700
-9yC1H_aS6y962s20MeB0A,2013-11-08T07:56:53.286600
-9zMswmdTYCH_SlBS3kATQ,2013-11-20T05:01:19.822600
-9zwran1RdCExr3cGV8vgQ,2013-11-03T07:56:30.442100
-A0Eqc8eR5CUosqaCCBX2w,2014-01-13T09:37:39.383300
-A8gBloYT-aw0wo_Ct5gBw,2014-01-11T03:35:57.100800
-AEBRphJSDOu6-su-0SmCg,2013-06-03T17:41:39.151600
-AFmsT-TRd6QLPVEbFZbMg,2013-12-29T17:08:57.295400
-AHYQxN0RE2Rxm6OOngCFA,2013-11-14T20:37:36.507800
-AIyeItfRAiJhhShx8LTpA,2013-10-27T10:04:15.033500
-AJdcL3bTrmqDdG6r4oR_A,2014-01-13T23:15:03.649000
-ALwwX_rTfWzapUXZgpoLQ,2013-12-29T09:45:36.178200
-AM-CCUQSqmXPH5EHn_6kw,2014-01-11T00:45:11.516500
-APhLfkKSky5HeXrS338Ug,2013-11-01T23:24:12.780300
-AV9CF3nSwGMGhqx6rvw7g,2013-08-06T08:49:47.019700
-AkASygXQnqWmD34wvc0Pw,2013-05-28T19:16:05.125000
-AlZVCIyQjyCTd36qAh3WQ,2013-11-14T07:08:09.892700
-AnV2hCLT9SGFofNsa-E9w,2013-07-17T07:37:30.687200
-Ap4BH-ZRXGBH8SX2_huhQ,2013-11-19T19:13:27.573000
-B3ee-VPTmyV2f7uDOy2dA,2013-07-26T17:55:46.058800
-B9des-ORjK7aocEy4X0Kw,2013-10-16T10:39:33.172000
-BH1FznnT4exLZjcs6anug,2013-07-29T13:56:18.268500
-BJUbJi3R9uDKohlqfB_ug,2013-10-15T23:49:57.406500
-BJX9I8tRFioQYpgB-_t_g,
-BOa0f20TYC65xlf7jpjZg,2013-12-28T21:24:01.998400
-BXS_xTKRym9kghzvSZLcw,
-BY5iQTsTWK3RBt2fz7PSQ,2013-06-20T00:39:37.141400
-B_rFpcSTpqidKg-WYBgNA,2013-10-16T23:38:48.558900
-BbLjU7CS4Wp1m1kqdWA6g,2013-11-28T06:48:58.006000
-Bca1XfsRYeRoRwk8B5GgA,2013-06-28T07:17:47.151600
-BfB9qVJQ8a0i2ueph5bqg,2013-11-05T09:59:52.706700
-BjuGFSyQ0WGUcx18yzFUg,2013-08-02T11:33:40.510100
-BklBiGKSSOw7W8vs5wfNA,2013-11-28T10:50:01.717600
-Bm_0DKLS-6ri9QHRd7slA,2013-11-23T09:38:59.495900
-Bvw294vRpWhfi4Sju3w5Q,2013-06-07T09:59:01.421300
-ByEmORqRIKv7XsHX4vJFg,2013-06-05T17:37:30.690200
-BzRey2TQN-8tpDgxe2uGA,2013-10-25T12:27:00.642400
-BzTWTQYSjq53p6TgVXPcw,2013-11-28T12:56:18.352600
-C1_gVdLSkWCSyjR65lSNg,2013-05-29T16:43:44.029300
-C77dTXbQau6sobcPmo8jA,2013-12-15T11:40:26.583900
-CAofPKSS3Gf5pCUDSdyMA,2014-01-30T23:18:04.014600
-CCTo9hSTDmBLusS7wZpFQ,2014-01-04T16:15:20.536700
-CCteBChQMequOMEdcyw6w,2013-07-21T15:43:16.019900
-CRJbNXwQha5tCpTHKKuBA,2013-07-30T22:50:41.277700
-CUUAOgaRAOiq88JzU0B1w,2014-01-31T11:27:29.101500
-CcJLdYISG2mdA49zFQKuQ,
-ChwMfzdRbK3V35Zbzvddw,2013-12-07T14:35:34.724800
-ChzqMUxRIuBlHgui7xWgA,2013-12-06T12:49:02.807400
-Cii3MN2RBiOtJCG3msYhQ,2014-01-21T10:38:03.843500
-Cli-tAhTpWK1TSL-oA7Nw,2013-10-31T04:24:53.432800
-CoEkNR-Qnu-bl0gU1UN6g,2013-06-25T15:11:18.258700
-CoMi1YsStGLlCxA8pgLmQ,2014-01-05T18:11:25.654700
-CocGuVwRJeO-H8lZK9Vcw,2013-12-02T13:34:37.921400
-CtAnoawT4-jC1coKeJJxQ,2013-07-18T10:22:30.380300
-CweMLkuTCmYevX2wmhkIw,2013-08-11T07:04:31.256300
-D76dB3rRe60FgzO9frH6Q,2013-07-12T02:59:21.751600
-D7L2HJ0QnKV177wWoK1SQ,2014-01-09T02:56:08.817800
-D7fMURxSC2Tq-CWrxR87Q,2013-05-28T04:11:27.776600
-DAnNOnGQNCZW5zVQ0CA6w,2013-07-22T20:25:58.806700
-DBZt952QsmbMEbu5Uckew,2013-08-10T05:30:34.921900
-DG8LUtzT5yFutCiF3SD9A,2013-11-06T10:52:12.951300
-DHqnjmYTSK50mBmmIfusg,2013-12-16T02:30:32.678400
-DJ0Ha7AS-OIrRwi8aOSvg,2013-09-26T01:59:31.409300
-DMX_uOvRtycKvvdgCMwiA,2013-11-15T05:21:36.351300
-DPBItSjRaSGi5A1ppT62w,2013-11-24T18:36:36.674100
-DVQOB-kTZWwyDmtycWMNA,2013-12-16T14:59:44.806100
-DbjTSxpT1e_AhOtMb3SUg,2013-11-23T08:59:25.774800
-DgasB4cSveVdmBbfZDHHw,2013-10-29T08:08:33.755300
-DlS1jxrSUqZ5GhtVbjpkg,2014-01-19T11:56:12.035600
-Dpon-YqTge1RxXtF6n2BA,2013-10-31T09:21:36.659600
-DtHt22dQOejYRI_KicXMA,2013-12-11T12:19:03.883400
-Dv8jhllQoO7BXQcwk0Y_Q,2014-01-10T21:04:37.089900
-DxL6rs4QBiKsCicJT3tkg,2013-06-21T06:42:45.779400
-DyxD245QLCbUUf7fOCtUA,2014-01-15T05:18:31.968200
-E28vhonTwmYkjjWAgvWUQ,2014-02-02T08:36:48.947800
-E2wAlEoRwq0oUkcVmbc5Q,2013-07-13T01:54:55.142600
-EA6S0ZnSnarxQsj34jEIQ,2013-10-09T00:15:20.589100
-EBtPnqrSqiEV2F5e30e9w,2013-10-21T08:05:07.884600
-ECtFPy5QXigaXKmsQ6ljg,2013-06-27T04:55:58.491700
-EDZhlPAQ06LxcwqghVzgg,2013-10-18T11:20:23.921900
-EFt1ZvSQ0qZHoKpo45usQ,2013-10-20T10:46:24.611800
-ENkO7XCRY-EYDmTFcZQjA,2013-12-04T13:22:22.968100
-EPHYCjgQqmy0fNi4vNT6Q,2013-07-11T19:29:42.770800
-ERwbGP7TTagIP5VXAHCng,2013-11-26T03:51:21.452700
-ESL8cclQJKEym_8GDvQJQ,2013-11-15T03:43:10.732700
-ETU2GnpTfST-pQN4gnklQ,2013-07-22T03:01:27.085200
-EZvkZEGQHCiMe0gFbRF4Q,2013-06-29T05:32:46.508100
-E_9yKq9Q8ix0NlkYKu5VQ,2014-01-04T03:42:37.505000
-Eegr8G-RuGQfQKdUER-0w,2013-05-29T21:30:58.669500
-Ef9WhJXTKmuAOfX1wpD_A,2014-01-21T01:16:49.978100
-EhIuNAzT46dsZt3BA_W5g,2013-10-20T22:15:48.764600
-EiuLYRaTrqPN8x8wkYlCw,
-Eiyc_tPRO220gs4H-MTAQ,2013-11-29T15:41:06.966400
-Eo99C_5S5OnKsi5uQtcdA,2013-10-12T13:17:55.851300
-Ep4lSoySf-887cp95oKQA,2013-06-19T05:17:38.954900
-EsNYLF7Q9aHla-p7mjfGg,2013-07-24T12:22:42.791100
-Etk8WRATcq_hGC_lZ7c9g,2014-01-25T06:19:10.536200
-EvXDRApT8-f54T2s1vHRQ,2013-11-04T08:10:25.436200
-F00v-9BRU2-8glM4epC6A,2014-01-04T09:19:41.077700
-F4Y7aM_RTybTkV8sjMlwQ,2013-10-08T14:00:45.227600
-F5xpJ3RSRyJPrRLH_5XRg,2014-01-21T05:16:07.709900
-F79fOb4RlCOtY6EdTGT9Q,2014-01-29T17:05:02.316600
-FAsLx-tSv-cWFs4F8WhDA,2013-06-30T04:11:41.654000
-FELcQzGTu-QyI09OkxKLw,2013-08-09T09:35:32.395300
-FEYL_0ATX6sPZCi830o1g,2013-12-07T01:09:56.240600
-FGCUK2JREGrcQn0DmPVDQ,2013-10-26T02:19:52.584100
-FGQUsPCTyO_nwKiNjdJaA,2014-01-11T16:37:26.234300
-FM9F9xAQ-iHljJEKHf5kQ,2013-11-07T07:10:45.851000
-FQSx21TS2espsbPiOwJ6Q,2013-12-26T13:33:19.913300
-FUNthX9Qa26hZUo7vHEbg,2013-11-15T07:35:22.999900
-FUe-2_ISiG2xG7F-zNARQ,2013-11-21T11:30:07.685000
-FiI4ZHLQxiMCBhW2b7NoQ,2013-11-22T14:09:04.919500
-Fk6SSw-RUizrxrFpTn2oA,2013-11-23T23:09:34.892600
-FkAEiwTQWmeotMC6np0_g,2013-11-30T22:43:53.549800
-FkQTHhDSQ6685RE4HYRmg,2014-01-23T11:51:40.468400
-Fo4tstHSCONeR8CXnjddw,2013-11-17T08:39:23.472700
-FsUESc3T1CxJy2ipt-GwA,2013-05-29T14:02:22.222100
-FyamtWZRIapyFHpMrtj-Q,2013-06-22T05:29:14.389300
-G1-PerfSPioxDrIYKajSQ,2013-11-21T14:53:30.226800
-G3HhLyxTPWJCAYThjcH7g,2013-09-12T16:18:38.828100
-G4yy6aOQZC6u2DNm84fFg,2013-11-06T04:46:22.104700
-G6FlznQR2uQmluYwloimw,2014-01-19T14:08:40.497100
-GChNfBaSwuUp2R20u5qGg,2013-12-30T10:31:55.749400
-GEsYUhlTPidL8eIDzxsnA,2013-12-16T13:45:25.724600
-GJCkHkVSSu-1C1afUBxQg,2013-10-10T15:52:45.020700
-GOYg85ZQhyHLB3gSOv3Ew,2014-01-08T06:16:28.863900
-GV39Y8WTfWkXrjGNMf2TQ,2013-08-24T00:49:02.505200
-G_kw7PgSY-Ey88dPhJxxA,2014-01-22T10:27:27.272400
-GbpRd8ZRN-VJ6oZZzjG6g,2013-11-05T09:22:41.339500
-GcI7l_0T9mfLzkgCcLO_g,2013-08-01T19:10:21.959700
-GfAeNJ8TLSJQPx38nOSYA,2013-12-01T16:02:58.839700
-GfK7x2MTXi_2L1NYcXx4g,2013-07-11T11:24:42.209800
-Gg_XblWShit_VPKO0Rr5g,2014-01-02T18:12:02.689700
-Gqs22n6S9KL81ewVTACLg,2013-11-23T05:12:06.996200
-GuHMtj2Sm23dcqPLAIjqg,2014-01-08T08:45:46.925100
-H2oDXgHTia5-z9ZptBplg,2013-12-10T10:35:52.131700
-H4vQohsRAiDYCsgjS0r3Q,2013-11-11T17:55:55.413200
-H5Uq-7sRfWwigM0JovGJw,2013-11-21T08:39:21.570700
-H5Y_FcqTO2eo9Skyoo-8A,2013-07-10T19:53:50.600600
-HCptcTFQku0z-IIEOVhaA,2013-08-06T10:35:38.517800
-HFWKBj9RNuDd4X6A_FJUw,2013-07-23T08:38:56.218700
-HFoOFm5QmqD_iElQVH0gg,2013-11-15T21:30:45.712300
-HHJODXMTdWJV2Bl3XAA3Q,2014-01-28T13:30:50.790000
-HJOmCpXTp6f2Df8eXOHtg,2013-07-16T20:59:41.510300
-HNbP8vBQ7KoO6nSMFnwCw,
-HPgL1LxQx6FTOru9B7Z_w,2013-11-19T02:48:45.461500
-HUVZg0IR6GjDmXEcLOXcg,2013-07-20T00:59:17.850900
-HVLsUedSGCBvEGJUt6ZkA,2013-11-14T02:07:36.318000
